Date,Open,High,Low,Close,Volume,Daily_Return,MA_5,MA_20,MA_60,Volatility_20
2024-02-07,149,152,147,151,3600000,0.01342281879194629,147.6,137.4,125.36842105263158,0.012659219452519606
2024-02-08,151,153,148,150,3550000,-0.0066225165562914245,148.6,138.65,126.0,0.012792382411168061
2024-02-09,150,154,149,153,3700000,0.020000000000000018,149.8,139.95,126.675,0.012934196694428692
2024-02-10,153,156,151,155,3800000,0.013071895424836555,151.6,141.4,127.36585365853658,0.012290906792383698
2024-02-11,155,157,152,154,3750000,-0.006451612903225823,152.6,142.65,128.0,0.01242582280645346
2024-02-12,154,158,153,157,3900000,0.01948051948051943,153.8,143.95,128.67441860465115,0.012566904665092915
2024-02-13,157,160,155,159,4000000,0.01273885350318471,155.6,145.4,129.36363636363637,0.011943541113209255
2024-02-14,159,161,156,158,3950000,-0.0062893081761006275,156.6,146.65,130.0,0.012079779883043224
2024-02-15,158,162,157,161,4100000,0.018987341772152,157.8,147.95,130.67391304347825,0.012219999072975638
2024-02-16,161,164,159,163,4200000,0.012422360248447228,159.6,149.4,131.36170212765958,0.011615375466968315
2024-02-17,163,165,160,162,4150000,-0.006134969325153339,160.6,150.65,132.0,0.01175257079458029
2024-02-18,162,166,161,165,4300000,0.0185185185185186,161.8,151.95,132.6734693877551,0.011891820678826846
2024-02-19,165,168,163,167,4400000,0.0121212121212122,163.6,153.4,133.36,0.011304852849666607
2024-02-20,167,169,164,166,4350000,-0.005988023952095856,164.6,154.65,134.0,0.011442692556158316
2024-02-21,166,170,165,169,4500000,0.01807228915662651,165.8,155.95,134.67307692307693,0.011580886307406883
2024-02-22,169,172,167,171,4600000,0.01183431952662728,167.6,157.4,135.35849056603774,0.011010580954371643
2024-02-23,171,173,168,170,4550000,-0.005847953216374324,168.6,158.65,136.0,0.011148798554153868
2024-02-24,170,174,169,173,4700000,0.01764705882352935,169.8,159.95,136.6727272727273,0.011285866007302246
2024-02-25,173,176,171,175,4800000,0.011560693641618602,171.6,161.4,137.35714285714286,0.010731310863181851
2024-02-26,175,177,172,174,4750000,-0.005714285714285672,172.6,162.65,138.0,0.010869678655889526
2024-02-27,174,178,173,177,4900000,0.01724137931034475,173.8,163.95,138.67241379310346,0.011005563689035559
2024-02-28,177,180,175,179,5000000,0.011299435028248483,175.6,165.4,139.35593220338984,0.010465918976713789
2024-02-29,179,181,176,178,4950000,-0.005586592178770999,176.6,166.65,140.0,0.010604242289605333
2024-03-01,178,182,177,181,5100000,0.016853932584269593,177.8,167.95,141.33333333333334,0.010738900636777632
2024-03-02,181,184,179,183,5200000,0.011049723756906049,179.6,169.4,142.66666666666666,0.010213391619365724
2024-03-03,183,185,180,182,5150000,-0.005464480874316946,180.6,170.65,144.0,0.010351503988310046
2024-03-04,182,186,181,185,5300000,0.016483516483516425,181.8,171.95,145.33333333333334,0.01048490140655304
2024-03-05,185,188,183,187,5400000,0.0108108108108107,183.6,173.4,146.66666666666666,0.009972811867669617
2024-03-06,187,189,184,186,5350000,-0.005347593582887722,184.6,174.65,148.0,0.01011057098767849
2024-03-07,186,190,185,189,5500000,0.016129032258064502,185.8,175.95,149.33333333333334,0.01024268171623426
2024-03-08,189,192,187,191,5600000,0.010582010582010692,187.6,177.4,150.66666666666666,0.00974334823477615
2024-03-09,191,193,188,190,5550000,-0.005235602094240788,188.6,178.65,152.0,0.009880632544461084
2024-03-10,190,194,189,193,5700000,0.015789473684210575,189.8,179.95,153.33333333333334,0.01001143800570846
2024-03-11,193,196,191,195,5800000,0.010362694300518172,191.6,181.4,154.66666666666666,0.009524244911954055
2024-03-12,195,197,192,194,5750000,-0.00512820512820511,192.6,182.65,156.0,0.009660950702516857
2024-03-13,194,198,193,197,5900000,0.015463917525773141,193.8,183.95,157.33333333333334,0.009790438403770618
2024-03-14,197,200,195,199,6000000,0.010152284263959421,195.6,185.4,158.66666666666666,0.009314813321994415
2024-03-15,199,201,196,198,5950000,-0.005025125628140725,196.6,186.65,160.0,0.00945085228206916
2024-03-16,198,202,197,201,6100000,0.015151515151515138,197.8,187.95,161.33333333333334,0.009579014884863365
2024-03-17,201,204,199,203,6200000,0.00995024875621886,199.6,189.4,162.66666666666666,0.00911442478266188
2024-03-18,203,205,200,202,6150000,-0.0049261083743842304,200.6,190.65,164.0,0.009249721906767712
2024-03-19,202,206,201,205,6300000,0.014851485148514865,201.8,191.95,165.33333333333334,0.009376556436268684
2024-03-20,205,208,203,207,6400000,0.009756097560975618,203.6,193.4,166.66666666666666,0.00892250411316343
